timestamp,event_id,severity,category,source_ip,username,message,hostname
2026-04-10T09:30:00+00:00,WEB_GET,info,network,10.0.2.10,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:30:15+00:00,WEB_GET,info,network,10.0.2.11,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:30:30+00:00,WEB_GET,info,network,10.0.2.12,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:30:45+00:00,WEB_GET,info,network,10.0.2.13,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:31:00+00:00,WEB_GET,info,network,10.0.2.14,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:31:15+00:00,WEB_GET,info,network,10.0.2.15,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:31:30+00:00,WEB_GET,info,network,10.0.2.16,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:31:45+00:00,WEB_GET,info,network,10.0.2.17,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:32:00+00:00,WEB_GET,info,network,10.0.2.18,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:32:15+00:00,WEB_GET,info,network,10.0.2.19,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:32:30+00:00,WEB_GET,info,network,10.0.2.20,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:32:45+00:00,WEB_GET,info,network,10.0.2.21,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:33:00+00:00,WEB_GET,info,network,10.0.2.22,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:33:15+00:00,WEB_GET,info,network,10.0.2.23,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:33:30+00:00,WEB_GET,info,network,10.0.2.24,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:33:45+00:00,WEB_GET,info,network,10.0.2.25,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:34:00+00:00,WEB_GET,info,network,10.0.2.26,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:34:15+00:00,WEB_GET,info,network,10.0.2.27,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:34:30+00:00,WEB_GET,info,network,10.0.2.28,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:34:45+00:00,WEB_GET,info,network,10.0.2.29,-,GET /index.html HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:40:00+00:00,WEB_ATTACK,medium,network,185.220.101.42,-,GET /product?id=1' OR '1'='1 HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:40:05+00:00,WEB_ATTACK,medium,network,185.220.101.42,-,POST /search?q=<script>alert('pwned')</script> HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:40:10+00:00,WEB_ATTACK,medium,network,185.220.101.42,-,GET /download?file=../../../../etc/passwd HTTP/1.1 403 - via App Nginx,WEB-SRV-01
2026-04-10T09:40:15+00:00,WEB_ATTACK,medium,network,185.220.101.42,-,POST /ping?ip=127.0.0.1; whoami HTTP/1.1 200 - via App Nginx,WEB-SRV-01
2026-04-10T09:40:20+00:00,WEB_ATTACK,medium,network,185.220.101.42,-,POST /login?user=admin' -- HTTP/1.1 401 - via App Nginx,WEB-SRV-01
